Python 3.1.2 (r312:79360M, Mar 24 2010, 01:33:18) 
[GCC 4.0.1 (Apple Inc. build 5493)] on darwin
Type "copyright", "credits" or "license()" for more information.
>>> ================================ RESTART ================================
>>> 

Number of executions for each coin bias: 100000

p = probability of heads 
w = average wins of Player 1 
t = average number of coin tosses

p      w       t
0.613, 0.5032, 5.2261
0.614, 0.4971, 5.2289
0.615, 0.5034, 5.2070
0.616, 0.5016, 5.2308
0.617, 0.4988, 5.2356
0.618, 0.5017, 5.2384
0.619, 0.4995, 5.2334
0.620, 0.5036, 5.2600
0.621, 0.5000, 5.2428
0.622, 0.5019, 5.2334
0.623, 0.4990, 5.2590
0.624, 0.4987, 5.2608
0.625, 0.5005, 5.2578
0.626, 0.4999, 5.2630
0.627, 0.4982, 5.2689
0.628, 0.5011, 5.2770
0.629, 0.5006, 5.2862
0.630, 0.5005, 5.2976
0.631, 0.5005, 5.3090
0.632, 0.5040, 5.3081
0.633, 0.4997, 5.3022
0.634, 0.4985, 5.3134
0.635, 0.4988, 5.3093
0.636, 0.4990, 5.3035
0.637, 0.4983, 5.3346
0.638, 0.5000, 5.3263
0.639, 0.5010, 5.3369
0.640, 0.5013, 5.3506
0.641, 0.5012, 5.3675
0.642, 0.5023, 5.3647
0.643, 0.5001, 5.3623
0.644, 0.4987, 5.3673
0.645, 0.5005, 5.3944
0.646, 0.4998, 5.3740
0.647, 0.5014, 5.3892
0.648, 0.5020, 5.3991
0.649, 0.5021, 5.3931
0.650, 0.4961, 5.3872
0.651, 0.5025, 5.4089
0.652, 0.4978, 5.4067
0.653, 0.4995, 5.4240
0.654, 0.4998, 5.4228
0.655, 0.5007, 5.4285
0.656, 0.5017, 5.4397
0.657, 0.4990, 5.4329
0.658, 0.5004, 5.4436
0.659, 0.5023, 5.4441
0.660, 0.5010, 5.4463
0.661, 0.4996, 5.4627
0.662, 0.4972, 5.4814
0.663, 0.4998, 5.4750
0.664, 0.5015, 5.5012
0.665, 0.5024, 5.4923
0.666, 0.4995, 5.4980
0.667, 0.5001, 5.5187
0.668, 0.4996, 5.5164
0.669, 0.4994, 5.5018
0.670, 0.5004, 5.5287
0.671, 0.5027, 5.5435
0.672, 0.4994, 5.5343
0.673, 0.5007, 5.5542
0.674, 0.5004, 5.5396
0.675, 0.4987, 5.5752
0.676, 0.5002, 5.5723
0.677, 0.4986, 5.5536
0.678, 0.4990, 5.5655
0.679, 0.5001, 5.5943
0.680, 0.5006, 5.5857
0.681, 0.4984, 5.6001
0.682, 0.4990, 5.6115
0.683, 0.4995, 5.6173
0.684, 0.5018, 5.6172
0.685, 0.4995, 5.6126
0.686, 0.5013, 5.6393
0.687, 0.4983, 5.6358
0.688, 0.5019, 5.6651
0.689, 0.5011, 5.6437
0.690, 0.4991, 5.6617
0.691, 0.4998, 5.6938
0.692, 0.5031, 5.6945
0.693, 0.4989, 5.6973
0.694, 0.5007, 5.7067
0.695, 0.4998, 5.7348
0.696, 0.4985, 5.7425
0.697, 0.4972, 5.7311
0.698, 0.5025, 5.7341
0.699, 0.5020, 5.7696
0.700, 0.5014, 5.7637
0.701, 0.4999, 5.7652
0.702, 0.5019, 5.7761
0.703, 0.4983, 5.7843
0.704, 0.4972, 5.7883
0.705, 0.5005, 5.8200
0.706, 0.5031, 5.8187
0.707, 0.5000, 5.8176
0.708, 0.4994, 5.8430
0.709, 0.5023, 5.8544
0.710, 0.4994, 5.8463
0.711, 0.5014, 5.8893
0.712, 0.4991, 5.8807
0.713, 0.5005, 5.8937
0.714, 0.4985, 5.9086
0.715, 0.5017, 5.8908
0.716, 0.4970, 5.9239
0.717, 0.4998, 5.9115
0.718, 0.4981, 5.9388
0.719, 0.5029, 5.9621
0.720, 0.4976, 5.9501
0.721, 0.4985, 5.9672
0.722, 0.5006, 5.9779
0.723, 0.5000, 6.0043
0.724, 0.4977, 6.0274
0.725, 0.4986, 6.0172
0.726, 0.4981, 6.0272
0.727, 0.5013, 6.0426
0.728, 0.5007, 6.0489
0.729, 0.5012, 6.0608
0.730, 0.5001, 6.0796
0.731, 0.5024, 6.0915
0.732, 0.5009, 6.1265
0.733, 0.4984, 6.1226
0.734, 0.4980, 6.1006
0.735, 0.5000, 6.1453
0.736, 0.5002, 6.1377
0.737, 0.4992, 6.1732
0.738, 0.4997, 6.1736
0.739, 0.4985, 6.1870
0.740, 0.5012, 6.1714
0.741, 0.5004, 6.2102
0.742, 0.4993, 6.2233
0.743, 0.5001, 6.2265
0.744, 0.4983, 6.2389
0.745, 0.4993, 6.2794
0.746, 0.5017, 6.2995
0.747, 0.4978, 6.2852
0.748, 0.5002, 6.3304
0.749, 0.4982, 6.3324
0.750, 0.5012, 6.3333
0.751, 0.5010, 6.3600
0.752, 0.4998, 6.3343
0.753, 0.5004, 6.3686
0.754, 0.5019, 6.3866
0.755, 0.4987, 6.3951
0.756, 0.5011, 6.4207
0.757, 0.5015, 6.4376
0.758, 0.4999, 6.4476
0.759, 0.5038, 6.4482
0.760, 0.4994, 6.4811
0.761, 0.5047, 6.5242
0.762, 0.4998, 6.5147
0.763, 0.5002, 6.5607
0.764, 0.4985, 6.5471
0.765, 0.5021, 6.5684
0.766, 0.5009, 6.5817
0.767, 0.4995, 6.5956
0.768, 0.5014, 6.6156
0.769, 0.4997, 6.5958
0.770, 0.5015, 6.6390
0.771, 0.5014, 6.6517
0.772, 0.5000, 6.6801
0.773, 0.4990, 6.6879
0.774, 0.5004, 6.7321
0.775, 0.4999, 6.7556
0.776, 0.4968, 6.7421
0.777, 0.4986, 6.7646
0.778, 0.4985, 6.7979
0.779, 0.4996, 6.7944
0.780, 0.4992, 6.8175
0.781, 0.5003, 6.8644
0.782, 0.5013, 6.8679
0.783, 0.4973, 6.8827
0.784, 0.5016, 6.9177
0.785, 0.4974, 6.9250
0.786, 0.4990, 6.9275
0.787, 0.5005, 6.9848
0.788, 0.4996, 6.9659
0.789, 0.5011, 7.0152
0.790, 0.5016, 7.0154
0.791, 0.5016, 7.0371
0.792, 0.4991, 7.0555
0.793, 0.5001, 7.1163
0.794, 0.5000, 7.1357
0.795, 0.5018, 7.1192
0.796, 0.4993, 7.1384
0.797, 0.5011, 7.1725
0.798, 0.4971, 7.2250
0.799, 0.4988, 7.2075
0.800, 0.4981, 7.2605
0.801, 0.4988, 7.2667
0.802, 0.4997, 7.3091
0.803, 0.4999, 7.3245
0.804, 0.5003, 7.3476
0.805, 0.4998, 7.3842
0.806, 0.5012, 7.3760
0.807, 0.4988, 7.4118
0.808, 0.4991, 7.4615
0.809, 0.4986, 7.4690
0.810, 0.5020, 7.4800
0.811, 0.4997, 7.5531
0.812, 0.5007, 7.5496
0.813, 0.5022, 7.5644
0.814, 0.4992, 7.5998
0.815, 0.5015, 7.6409
0.816, 0.4981, 7.6422
0.817, 0.4986, 7.6807
0.818, 0.5026, 7.6747
0.819, 0.4980, 7.7756
0.820, 0.5012, 7.7966
0.821, 0.5008, 7.8057
0.822, 0.5011, 7.8299
0.823, 0.5020, 7.8599
0.824, 0.5000, 7.9168
